image,p_cn,p_cn_masked,p_vit,p_vit_masked,drop_cn,drop_vit
bus_0005-l,0.99944645,0.99887043,0.990368,0.9924489,0.0005760193,-0.0020809174
bus_0005-r,0.9833365,0.98898685,0.9819036,0.989031,-0.0056503415,-0.007127404
bus_0016-l,0.9990721,0.9963111,0.9268502,0.9856226,0.0027609468,-0.058772385
bus_0016-r,0.9989255,0.9977018,0.9876724,0.99779165,0.0012236834,-0.010119259
bus_0017-s,0.0401973,0.0010467053,0.0010038328,0.00078756915,0.039150596,0.00021626364
bus_0031-s,0.99886155,0.99905103,0.9992436,0.9973278,-0.00018948317,0.0019158125
bus_0037-s,0.9986412,0.9983974,0.9493296,0.8983754,0.000243783,0.050954223
bus_0063-s,0.9972631,0.7927476,0.9903715,0.97376776,0.20451546,0.016603768
bus_0089-s,0.9954253,0.98138887,0.9983015,0.77343535,0.014036417,0.22486615
bus_0109-s,0.96226394,0.32645792,0.7458722,0.4182424,0.635806,0.3276298
bus_0114-s,0.99892825,0.99105936,0.9997801,0.70692724,0.007868886,0.29285288
bus_0130-l,0.9978854,0.99105364,0.97939384,0.97911876,0.006831765,0.00027507544
bus_0130-r,0.9957711,0.9785271,0.9721558,0.9826043,0.017243981,-0.010448515
bus_0170-l,0.9847548,0.41589,0.08994289,0.20003155,0.5688648,-0.11008866
bus_0170-r,0.99628603,0.9871083,0.6187884,0.7211173,0.009177744,-0.1023289
bus_0180-l,0.9996171,0.9990331,0.99899346,0.9991597,0.0005840063,-0.00016623735
bus_0180-r,0.9981244,0.9877402,0.99740404,0.95842475,0.010384202,0.038979292
bus_0227-l,0.9901134,0.9614393,0.75963175,0.40414196,0.028674066,0.3554898
bus_0227-r,0.941054,0.9296775,0.81630516,0.9403949,0.0113765,-0.12408972
bus_0230-l,0.8716673,0.013807754,0.917442,0.6920468,0.85785955,0.2253952
bus_0230-r,0.9989936,0.99804926,0.99592304,0.98694116,0.0009443164,0.0089818835
bus_0231-l,0.016776875,0.16894026,0.0053082607,0.06073864,-0.15216339,-0.055430382
bus_0231-r,0.33221063,0.99260324,0.29353613,0.89159966,-0.66039264,-0.5980635
bus_0238-l,0.9986105,0.9064955,0.19065814,0.63595015,0.092114985,-0.445292
bus_0238-r,0.00035746186,0.0004409987,0.0011694005,0.005072721,-8.353684e-05,-0.0039033203
bus_0253-l,0.9920133,0.034080956,0.4980902,0.43366265,0.9579323,0.064427555
bus_0253-r,0.99759066,0.9756555,0.9966703,0.98866487,0.021935165,0.00800544
bus_0263-l,0.99882025,0.985974,0.99053556,0.977979,0.012846231,0.012556553
bus_0263-r,0.8252901,0.0068976195,0.00695863,0.029010495,0.81839246,-0.022051865
bus_0267-l,0.9994723,0.22928783,0.9880954,0.91228503,0.7701845,0.07581037
bus_0267-r,0.9969298,0.9862683,0.96915317,0.98929566,0.010661542,-0.020142496
bus_0272-l,0.99877244,0.99666387,0.9976909,0.9628071,0.002108574,0.034883797
bus_0272-r,0.99901044,0.9930549,0.9997496,0.9975932,0.0059555173,0.0021563768
bus_0303-l,0.9641506,0.99441445,0.96003574,0.9788632,-0.030263841,-0.018827438
bus_0303-r,0.9282725,0.91290724,0.20704935,0.13441442,0.015365243,0.072634935
bus_0319-l,0.99889743,0.99806803,0.69430137,0.8805133,0.00082939863,-0.18621194
bus_0319-r,0.9971373,0.98191017,0.7099106,0.30853924,0.015227139,0.40137133
bus_0321-s,0.18221796,0.023172045,0.8923745,0.86343575,0.1590459,0.02893877
bus_0328-l,0.91652364,0.5624384,0.7507196,0.0020051312,0.3540852,0.74871445
bus_0328-r,0.5464121,0.051318247,0.83630705,0.7772891,0.49509385,0.059017956
bus_0329-l,0.99760544,0.99834645,0.99919194,0.99942553,-0.00074100494,-0.0002335906
bus_0329-r,0.999642,0.9987797,0.99929273,0.9998634,0.0008623004,-0.00057065487
bus_0335-l,0.9968545,0.9458494,0.96577907,0.89698774,0.051005065,0.06879133
bus_0335-r,0.9963726,0.8845515,0.9988558,0.9966158,0.111821055,0.0022400022
bus_0342-l,0.9993955,0.9989687,0.99684227,0.99546367,0.00042676926,0.0013785958
bus_0342-r,0.99941826,0.99888533,0.99985397,0.9999143,0.0005329251,-6.03199e-05
bus_0356-l,0.9988795,0.9972453,0.9993832,0.9998437,0.0016341805,-0.0004605055
bus_0356-r,0.38139856,0.50431657,0.98370254,0.99591196,-0.12291801,-0.012209415
bus_0362-l,0.9747891,0.99713707,0.9559277,0.93398017,-0.022347987,0.021947563
bus_0362-r,0.99887973,0.9988262,0.47316366,0.49647656,5.352497e-05,-0.023312896
bus_0364-l,0.9989114,0.87033325,0.8737876,0.737577,0.12857813,0.13621056
bus_0364-r,0.99974984,0.99840385,0.9951989,0.9978993,0.0013459921,-0.0027003884
bus_0366-l,0.9987972,0.9940948,0.7365706,0.757029,0.0047023892,-0.0204584
bus_0366-r,0.9996209,0.14778636,0.99918133,0.9677425,0.85183454,0.031438828
bus_0370-l,0.998069,0.8833636,0.9967533,0.99727887,0.114705384,-0.00052559376
bus_0370-r,0.9996151,0.9985538,0.9998553,0.999726,0.0010612607,0.00012928247
bus_0382-l,0.99966836,0.99286735,0.9972283,0.9485268,0.006801009,0.048701525
bus_0382-r,0.99938345,0.93036354,0.99945194,0.9868075,0.06901991,0.01264441
bus_0387-l,0.965159,0.88480854,0.0033454082,0.12288038,0.08035046,-0.11953497
bus_0387-r,0.9707418,0.86979634,0.010423458,0.0044478728,0.10094547,0.0059755854
bus_0410-l,0.98322034,0.8121852,0.9988129,0.93977284,0.17103511,0.05904007
bus_0410-r,0.99916995,0.9939196,0.99755585,0.81225127,0.0052503347,0.18530458
bus_0448-l,0.9991911,0.9980981,0.99922264,0.99674594,0.00109303,0.0024766922
bus_0448-r,0.96106964,0.024464503,0.9561025,0.9572249,0.93660516,-0.0011224151
bus_0450-l,0.99975985,0.9987888,0.9997404,0.99591404,0.0009710789,0.0038263798
bus_0450-r,0.9995912,0.9993062,0.8669072,0.8556016,0.0002849698,0.011305571
bus_0487-l,0.9979699,0.9918794,0.9921893,0.7902648,0.006090522,0.2019245
bus_0487-r,0.99946874,0.9833334,0.99832815,0.89372766,0.016135335,0.10460049
bus_0488-l,0.0007189873,0.0005284187,4.0226012e-05,0.00011803688,0.00019056862,-7.7810866e-05
