set_a,set_b,image_a,image_b,distance
busbra,busbra,bus_0012-l.png,bus_0012-r.png,8
busbra,sysucc,bus_0999-l.png,malignant(81).png,8
gdph,gdph,benign(454).png,benign(496).png,0
gdph,gdph,benign(457).png,malignant(1184).png,0
gdph,gdph,benign(525).png,benign(652).png,0
gdph,gdph,benign(527).png,benign(650).png,0
gdph,gdph,benign(528).png,benign(648).png,0
gdph,gdph,benign(590).png,benign(594).png,0
gdph,gdph,benign(591).png,benign(595).png,0
gdph,gdph,benign(592).png,benign(593).png,0
gdph,gdph,malignant(1116).png,malignant(1174).png,0
gdph,gdph,malignant(1117).png,malignant(1175).png,0
gdph,gdph,malignant(1118).png,malignant(1133).png,0
gdph,gdph,malignant(1118).png,malignant(1155).png,0
gdph,gdph,malignant(1119).png,malignant(1148).png,0
gdph,gdph,malignant(1120).png,malignant(1143).png,0
gdph,gdph,malignant(1120).png,malignant(1170).png,0
gdph,gdph,malignant(1122).png,malignant(1171).png,0
gdph,gdph,malignant(1125).png,malignant(1163).png,0
gdph,gdph,malignant(1126).png,malignant(1144).png,0
gdph,gdph,malignant(1127).png,malignant(1145).png,0
gdph,gdph,malignant(1128).png,malignant(1146).png,0
gdph,gdph,malignant(1129).png,malignant(1147).png,0
gdph,gdph,malignant(1130).png,malignant(1150).png,0
gdph,gdph,malignant(1131).png,malignant(1151).png,0
gdph,gdph,malignant(1132).png,malignant(1153).png,0
gdph,gdph,malignant(1133).png,malignant(1155).png,0
gdph,gdph,malignant(1136).png,malignant(1159).png,0
gdph,gdph,malignant(1137).png,malignant(1160).png,0
gdph,gdph,malignant(1138).png,malignant(1161).png,0
gdph,gdph,malignant(1139).png,malignant(1165).png,0
gdph,gdph,malignant(1142).png,malignant(1169).png,0
gdph,gdph,malignant(1143).png,malignant(1170).png,0
gdph,gdph,malignant(1154).png,malignant(1191).png,0
gdph,gdph,malignant(1176).png,malignant(1177).png,0
gdph,gdph,malignant(1426).png,malignant(1427).png,0
gdph,gdph,malignant(1321).png,malignant(1322).png,4
gdph,gdph,malignant(1205).png,malignant(1206).png,8
gdph,gdph,malignant(1320).png,malignant(1322).png,8
gdph,sysucc,benign(784).png,malignant(23).png,8
sysucc,sysucc,benign(100).png,benign(103).png,0
sysucc,sysucc,benign(116).png,benign(147).png,0
sysucc,sysucc,benign(117).png,benign(148).png,0
sysucc,sysucc,benign(145).png,benign(75).png,0
sysucc,sysucc,benign(146).png,benign(172).png,0
sysucc,sysucc,benign(146).png,malignant(415).png,0
sysucc,sysucc,benign(149).png,malignant(416).png,0
sysucc,sysucc,benign(150).png,benign(151).png,0
sysucc,sysucc,benign(154).png,benign(156).png,0
sysucc,sysucc,benign(169).png,benign(170).png,0
sysucc,sysucc,benign(172).png,malignant(415).png,0
sysucc,sysucc,benign(215).png,benign(217).png,0
sysucc,sysucc,benign(221).png,benign(222).png,0
sysucc,sysucc,benign(241).png,benign(242).png,0
sysucc,sysucc,benign(274).png,malignant(1022).png,0
sysucc,sysucc,benign(283).png,malignant(697).png,0
sysucc,sysucc,benign(284).png,malignant(703).png,0
sysucc,sysucc,benign(285).png,malignant(701).png,0
sysucc,sysucc,benign(286).png,malignant(696).png,0
sysucc,sysucc,benign(287).png,malignant(702).png,0
sysucc,sysucc,benign(288).png,malignant(699).png,0
sysucc,sysucc,benign(289).png,malignant(700).png,0
sysucc,sysucc,benign(290).png,malignant(698).png,0
sysucc,sysucc,benign(310).png,benign(382).png,0
sysucc,sysucc,benign(34).png,benign(37).png,0
sysucc,sysucc,benign(35).png,benign(36).png,0
sysucc,sysucc,benign(350).png,benign(352).png,0
sysucc,sysucc,benign(378).png,benign(380).png,0
sysucc,sysucc,benign(387).png,benign(390).png,0
sysucc,sysucc,benign(391).png,malignant(954).png,0
sysucc,sysucc,benign(437).png,malignant(1090).png,0
sysucc,sysucc,benign(438).png,malignant(1091).png,0
sysucc,sysucc,benign(439).png,benign(440).png,0
sysucc,sysucc,benign(439).png,malignant(1092).png,0
sysucc,sysucc,benign(439).png,malignant(1093).png,0
sysucc,sysucc,benign(440).png,malignant(1092).png,0
sysucc,sysucc,benign(440).png,malignant(1093).png,0
sysucc,sysucc,benign(441).png,malignant(1094).png,0
sysucc,sysucc,benign(442).png,malignant(1095).png,0
sysucc,sysucc,benign(6).png,benign(7).png,0
sysucc,sysucc,benign(68).png,benign(69).png,0
sysucc,sysucc,benign(94).png,benign(95).png,0
sysucc,sysucc,malignant(1008).png,malignant(1011).png,0
sysucc,sysucc,malignant(1026).png,malignant(543).png,0
sysucc,sysucc,malignant(1027).png,malignant(544).png,0
sysucc,sysucc,malignant(1037).png,malignant(1039).png,0
sysucc,sysucc,malignant(105).png,malignant(106).png,0
sysucc,sysucc,malignant(1058).png,malignant(1059).png,0
sysucc,sysucc,malignant(1086).png,malignant(1087).png,0
sysucc,sysucc,malignant(109).png,malignant(114).png,0
sysucc,sysucc,malignant(1092).png,malignant(1093).png,0
sysucc,sysucc,malignant(126).png,malignant(311).png,0
sysucc,sysucc,malignant(127).png,malignant(312).png,0
sysucc,sysucc,malignant(140).png,malignant(142).png,0
sysucc,sysucc,malignant(143).png,malignant(145).png,0
sysucc,sysucc,malignant(18).png,malignant(19).png,0
sysucc,sysucc,malignant(190).png,malignant(191).png,0
sysucc,sysucc,malignant(201).png,malignant(204).png,0
sysucc,sysucc,malignant(205).png,malignant(208).png,0
sysucc,sysucc,malignant(21).png,malignant(24).png,0
sysucc,sysucc,malignant(245).png,malignant(247).png,0
sysucc,sysucc,malignant(258).png,malignant(260).png,0
sysucc,sysucc,malignant(263).png,malignant(264).png,0
sysucc,sysucc,malignant(267).png,malignant(271).png,0
sysucc,sysucc,malignant(302).png,malignant(304).png,0
sysucc,sysucc,malignant(305).png,malignant(308).png,0
sysucc,sysucc,malignant(306).png,malignant(307).png,0
sysucc,sysucc,malignant(325).png,malignant(326).png,0
sysucc,sysucc,malignant(373).png,malignant(383).png,0
sysucc,sysucc,malignant(394).png,malignant(395).png,0
sysucc,sysucc,malignant(397).png,malignant(947).png,0
sysucc,sysucc,malignant(398).png,malignant(948).png,0
sysucc,sysucc,malignant(40).png,malignant(41).png,0
sysucc,sysucc,malignant(400).png,malignant(401).png,0
sysucc,sysucc,malignant(418).png,malignant(421).png,0
sysucc,sysucc,malignant(424).png,malignant(425).png,0
sysucc,sysucc,malignant(461).png,malignant(704).png,0
sysucc,sysucc,malignant(462).png,malignant(705).png,0
sysucc,sysucc,malignant(472).png,malignant(474).png,0
sysucc,sysucc,malignant(481).png,malignant(484).png,0
sysucc,sysucc,malignant(483).png,malignant(486).png,0
sysucc,sysucc,malignant(493).png,malignant(642).png,0
sysucc,sysucc,malignant(494).png,malignant(643).png,0
sysucc,sysucc,malignant(546).png,malignant(547).png,0
sysucc,sysucc,malignant(550).png,malignant(553).png,0
sysucc,sysucc,malignant(567).png,malignant(568).png,0
sysucc,sysucc,malignant(575).png,malignant(580).png,0
sysucc,sysucc,malignant(58).png,malignant(59).png,0
sysucc,sysucc,malignant(589).png,malignant(591).png,0
sysucc,sysucc,malignant(590).png,malignant(592).png,0
sysucc,sysucc,malignant(600).png,malignant(602).png,0
sysucc,sysucc,malignant(612).png,malignant(613).png,0
sysucc,sysucc,malignant(635).png,malignant(636).png,0
sysucc,sysucc,malignant(650).png,malignant(651).png,0
sysucc,sysucc,malignant(710).png,malignant(713).png,0
sysucc,sysucc,malignant(716).png,malignant(717).png,0
sysucc,sysucc,malignant(721).png,malignant(722).png,0
sysucc,sysucc,malignant(727).png,malignant(729).png,0
sysucc,sysucc,malignant(728).png,malignant(730).png,0
sysucc,sysucc,malignant(772).png,malignant(774).png,0
sysucc,sysucc,malignant(776).png,malignant(778).png,0
sysucc,sysucc,malignant(794).png,malignant(796).png,0
sysucc,sysucc,malignant(819).png,malignant(821).png,0
sysucc,sysucc,malignant(82).png,malignant(83).png,0
sysucc,sysucc,malignant(826).png,malignant(829).png,0
sysucc,sysucc,malignant(832).png,malignant(833).png,0
sysucc,sysucc,malignant(835).png,malignant(836).png,0
sysucc,sysucc,malignant(864).png,malignant(866).png,0
sysucc,sysucc,malignant(869).png,malignant(872).png,0
sysucc,sysucc,malignant(87).png,malignant(88).png,0
sysucc,sysucc,malignant(875).png,malignant(877).png,0
sysucc,sysucc,malignant(900).png,malignant(901).png,0
sysucc,sysucc,malignant(909).png,malignant(912).png,0
sysucc,sysucc,malignant(931).png,malignant(934).png,0
sysucc,sysucc,malignant(978).png,malignant(979).png,0
sysucc,sysucc,malignant(984).png,malignant(986).png,0
sysucc,sysucc,malignant(988).png,malignant(989).png,0
sysucc,sysucc,malignant(990).png,malignant(991).png,0
sysucc,sysucc,malignant(994).png,malignant(997).png,0
sysucc,sysucc,malignant(995).png,malignant(999).png,0
sysucc,sysucc,benign(0).png,benign(2).png,2
sysucc,sysucc,benign(1).png,benign(3).png,2
sysucc,sysucc,benign(119).png,benign(124).png,2
sysucc,sysucc,benign(121).png,benign(129).png,2
sysucc,sysucc,benign(13).png,benign(14).png,2
sysucc,sysucc,benign(130).png,benign(133).png,2
sysucc,sysucc,benign(141).png,benign(142).png,2
sysucc,sysucc,benign(143).png,benign(144).png,2
sysucc,sysucc,benign(159).png,benign(162).png,2
sysucc,sysucc,benign(166).png,benign(168).png,2
sysucc,sysucc,benign(187).png,benign(189).png,2
sysucc,sysucc,benign(193).png,benign(195).png,2
sysucc,sysucc,benign(20).png,benign(23).png,2
sysucc,sysucc,benign(203).png,benign(207).png,2
sysucc,sysucc,benign(228).png,benign(231).png,2
sysucc,sysucc,benign(237).png,benign(245).png,2
sysucc,sysucc,benign(238).png,benign(248).png,2
sysucc,sysucc,benign(239).png,benign(243).png,2
sysucc,sysucc,benign(244).png,benign(246).png,2
sysucc,sysucc,benign(251).png,benign(256).png,2
sysucc,sysucc,benign(252).png,benign(254).png,2
sysucc,sysucc,benign(257).png,benign(260).png,2
sysucc,sysucc,benign(259).png,benign(261).png,2
sysucc,sysucc,benign(264).png,benign(266).png,2
sysucc,sysucc,benign(28).png,benign(29).png,2
sysucc,sysucc,benign(283).png,benign(288).png,2
sysucc,sysucc,benign(283).png,malignant(699).png,2
sysucc,sysucc,benign(285).png,benign(286).png,2
sysucc,sysucc,benign(285).png,malignant(696).png,2
sysucc,sysucc,benign(286).png,malignant(701).png,2
sysucc,sysucc,benign(288).png,malignant(697).png,2
sysucc,sysucc,benign(289).png,benign(290).png,2
sysucc,sysucc,benign(289).png,malignant(698).png,2
sysucc,sysucc,benign(290).png,malignant(700).png,2
sysucc,sysucc,benign(293).png,benign(294).png,2
sysucc,sysucc,benign(296).png,benign(299).png,2
sysucc,sysucc,benign(304).png,benign(306).png,2
sysucc,sysucc,benign(312).png,benign(314).png,2
sysucc,sysucc,benign(327).png,benign(328).png,2
sysucc,sysucc,benign(332).png,benign(337).png,2
sysucc,sysucc,benign(333).png,benign(340).png,2
sysucc,sysucc,benign(334).png,benign(338).png,2
sysucc,sysucc,benign(335).png,benign(336).png,2
sysucc,sysucc,benign(339).png,benign(341).png,2
sysucc,sysucc,benign(34).png,benign(35).png,2
sysucc,sysucc,benign(34).png,benign(36).png,2
sysucc,sysucc,benign(348).png,benign(351).png,2
sysucc,sysucc,benign(35).png,benign(37).png,2
sysucc,sysucc,benign(354).png,benign(355).png,2
sysucc,sysucc,benign(36).png,benign(37).png,2
sysucc,sysucc,benign(397).png,benign(401).png,2
sysucc,sysucc,benign(4).png,benign(5).png,2
sysucc,sysucc,benign(40).png,benign(41).png,2
sysucc,sysucc,benign(409).png,benign(410).png,2
sysucc,sysucc,benign(414).png,benign(415).png,2
sysucc,sysucc,benign(42).png,benign(46).png,2
sysucc,sysucc,benign(431).png,benign(433).png,2
sysucc,sysucc,benign(431).png,benign(434).png,2
sysucc,sysucc,benign(441).png,benign(442).png,2
sysucc,sysucc,benign(441).png,malignant(1095).png,2
sysucc,sysucc,benign(442).png,malignant(1094).png,2
sysucc,sysucc,benign(47).png,benign(48).png,2
sysucc,sysucc,benign(70).png,benign(72).png,2
sysucc,sysucc,benign(71).png,benign(73).png,2
sysucc,sysucc,benign(86).png,benign(90).png,2
sysucc,sysucc,malignant(10).png,malignant(11).png,2
sysucc,sysucc,malignant(1000).png,malignant(1002).png,2
sysucc,sysucc,malignant(1006).png,malignant(1013).png,2
sysucc,sysucc,malignant(1007).png,malignant(1009).png,2
sysucc,sysucc,malignant(101).png,malignant(103).png,2
sysucc,sysucc,malignant(1015).png,malignant(1017).png,2
sysucc,sysucc,malignant(1018).png,malignant(1021).png,2
sysucc,sysucc,malignant(1036).png,malignant(1038).png,2
sysucc,sysucc,malignant(104).png,malignant(107).png,2
sysucc,sysucc,malignant(1041).png,malignant(1044).png,2
sysucc,sysucc,malignant(1048).png,malignant(1049).png,2
sysucc,sysucc,malignant(1060).png,malignant(1061).png,2
sysucc,sysucc,malignant(1062).png,malignant(1063).png,2
sysucc,sysucc,malignant(1064).png,malignant(1065).png,2
sysucc,sysucc,malignant(1094).png,malignant(1095).png,2
sysucc,sysucc,malignant(1103).png,malignant(186).png,2
sysucc,sysucc,malignant(115).png,malignant(117).png,2
sysucc,sysucc,malignant(13).png,malignant(15).png,2
sysucc,sysucc,malignant(134).png,malignant(137).png,2
sysucc,sysucc,malignant(138).png,malignant(144).png,2
sysucc,sysucc,malignant(139).png,malignant(141).png,2
sysucc,sysucc,malignant(14).png,malignant(16).png,2
sysucc,sysucc,malignant(157).png,malignant(158).png,2
sysucc,sysucc,malignant(175).png,malignant(176).png,2
sysucc,sysucc,malignant(182).png,malignant(183).png,2
sysucc,sysucc,malignant(187).png,malignant(188).png,2
sysucc,sysucc,malignant(232).png,malignant(233).png,2
sysucc,sysucc,malignant(234).png,malignant(235).png,2
sysucc,sysucc,malignant(239).png,malignant(241).png,2
sysucc,sysucc,malignant(240).png,malignant(242).png,2
sysucc,sysucc,malignant(243).png,malignant(248).png,2
sysucc,sysucc,malignant(249).png,malignant(252).png,2
sysucc,sysucc,malignant(250).png,malignant(251).png,2
sysucc,sysucc,malignant(257).png,malignant(261).png,2
sysucc,sysucc,malignant(262).png,malignant(265).png,2
sysucc,sysucc,malignant(272).png,malignant(273).png,2
sysucc,sysucc,malignant(274).png,malignant(275).png,2
sysucc,sysucc,malignant(278).png,malignant(281).png,2
sysucc,sysucc,malignant(279).png,malignant(280).png,2
sysucc,sysucc,malignant(289).png,malignant(290).png,2
sysucc,sysucc,malignant(297).png,malignant(298).png,2
sysucc,sysucc,malignant(309).png,malignant(310).png,2
sysucc,sysucc,malignant(313).png,malignant(316).png,2
sysucc,sysucc,malignant(314).png,malignant(315).png,2
sysucc,sysucc,malignant(317).png,malignant(320).png,2
