cohort,predictor,n,auc,benign_median_p_cal,malignant_median_p_cal,sens,spec,tp,fp,fn,tn
internal (BUS-BRA),one held-out ckpt per image + TTA (pooled OOF),1875,0.9254283620640372,0.06250689508979229,0.8533100421887019,0.9028006589785832,0.7712933753943217,548,290,59,978
internal (BUS-BRA fold 5),fold-5 single ckpt + TTA (fold-5 OOF),383,0.9234433158791243,0.027288447047190405,0.777670228182443,0.8925619834710744,0.816793893129771,108,48,13,214
BrEaST,fold-5 single ckpt + TTA,252,0.8466737344288365,0.2789107686937594,0.8100875199264626,0.9387755102040817,0.474025974025974,92,81,6,73
BrEaST,5-ckpt ensemble + TTA (deployed; external-v1),252,0.8541611449774715,0.30611412852911635,0.7561306929025072,0.9183673469387755,0.4090909090909091,90,91,8,63
BUSI,fold-5 single ckpt + TTA,379,0.9068961599636446,0.15011859719434195,0.8796357615963553,0.9386503067484663,0.6064814814814815,153,85,10,131
BUSI,5-ckpt ensemble + TTA (deployed; external-v1),379,0.9338786639400136,0.1738568516195727,0.8308627874390019,0.9570552147239264,0.6296296296296297,156,80,7,136
GDPH,fold-5 single ckpt + TTA,810,0.8898881226053641,0.33930667273293097,0.8449743274492515,0.952,0.4114942528735632,357,256,18,179
GDPH,5-ckpt ensemble + TTA (deployed; external-v1),810,0.9153900383141762,0.28938692784658065,0.769771322983906,0.9706666666666667,0.4528735632183908,364,238,11,197
SYSUCC,fold-5 single ckpt + TTA,1013,0.8318621078590682,0.3177892040458666,0.808787356518037,0.9337016574585635,0.44982698961937717,676,159,48,130
SYSUCC,5-ckpt ensemble + TTA (deployed; external-v1),1013,0.8380297845495039,0.28692288330399274,0.6804472610933382,0.930939226519337,0.4740484429065744,674,152,50,137
