cohort,member,n,auc,benign_median_p_cal,malignant_median_p_cal,sens,spec,tp,fp,fn,tn
BrEaST,cv_vit_fold1 + TTA,252,0.8533660217333686,0.20815643188148603,0.943487536822718,0.8979591836734694,0.5844155844155844,88,64,10,90
BrEaST,cv_vit_fold2 + TTA,252,0.8338855022528491,0.27183354188548603,0.7560809383744724,0.9183673469387755,0.4935064935064935,90,78,8,76
BrEaST,cv_vit_fold3 + TTA,252,0.8140074211502782,0.2099285005671355,0.9111348625690077,0.8673469387755102,0.525974025974026,85,73,13,81
BrEaST,cv_vit_fold4 + TTA,252,0.8555526106546515,0.22932024730780193,0.799511665447276,0.9081632653061225,0.577922077922078,89,65,9,89
BrEaST,cv_vit_fold5 + TTA,252,0.8466737344288365,0.2789107686937594,0.8100875199264626,0.9387755102040817,0.474025974025974,92,81,6,73
BrEaST,5-ckpt ensemble + TTA,252,0.8541611449774715,0.30611412852911635,0.7561306929025072,0.9183673469387755,0.4090909090909091,90,91,8,63
BUSI,cv_vit_fold1 + TTA,379,0.9279993183367417,0.04625697282929124,0.9602426669005049,0.8711656441717791,0.8333333333333334,142,36,21,180
BUSI,cv_vit_fold2 + TTA,379,0.9345603271983641,0.15345895173395094,0.821028200175475,0.9202453987730062,0.7129629629629629,150,62,13,154
BUSI,cv_vit_fold3 + TTA,379,0.9290218132242671,0.03878137869769369,0.9685099639559666,0.9079754601226994,0.7870370370370371,148,46,15,170
BUSI,cv_vit_fold4 + TTA,379,0.925982731197455,0.09777961561394373,0.8654049559742164,0.8834355828220859,0.7870370370370371,144,46,19,170
BUSI,cv_vit_fold5 + TTA,379,0.9068961599636446,0.15011859719434195,0.8796357615963553,0.9386503067484663,0.6064814814814815,153,85,10,131
BUSI,5-ckpt ensemble + TTA,379,0.9338786639400136,0.1738568516195727,0.8308627874390019,0.9570552147239264,0.6296296296296297,156,80,7,136
GDPH,cv_vit_fold1 + TTA,810,0.877088122605364,0.12534708508729525,0.8901943498629759,0.904,0.6436781609195402,339,155,36,280
GDPH,cv_vit_fold2 + TTA,810,0.9071570881226054,0.25823369277828684,0.7775360734660395,0.9546666666666667,0.5241379310344828,358,207,17,228
GDPH,cv_vit_fold3 + TTA,810,0.9204229885057472,0.08202323227025465,0.9447931317166625,0.92,0.728735632183908,345,118,30,317
GDPH,cv_vit_fold4 + TTA,810,0.877008429118774,0.2062294956272739,0.8240537000562158,0.904,0.6045977011494252,339,172,36,263
GDPH,cv_vit_fold5 + TTA,810,0.8898881226053641,0.33930667273293097,0.8449743274492515,0.952,0.4114942528735632,357,256,18,179
GDPH,5-ckpt ensemble + TTA,810,0.9153900383141762,0.28938692784658065,0.769771322983906,0.9706666666666667,0.4528735632183908,364,238,11,197
SYSUCC,cv_vit_fold1 + TTA,1013,0.8086371370127511,0.10870816337325002,0.8309765106195275,0.8121546961325967,0.6678200692041523,588,96,136,193
SYSUCC,cv_vit_fold2 + TTA,1013,0.8200166319371428,0.23729338394813507,0.6710561724920778,0.9019337016574586,0.5432525951557093,653,132,71,157
SYSUCC,cv_vit_fold3 + TTA,1013,0.8252523466325108,0.13170730801843988,0.8468535881399428,0.8549723756906077,0.5916955017301038,619,118,105,171
SYSUCC,cv_vit_fold4 + TTA,1013,0.8094209409470646,0.17393215248932645,0.680764753994344,0.8480662983425414,0.6332179930795848,614,106,110,183
SYSUCC,cv_vit_fold5 + TTA,1013,0.8318621078590682,0.3177892040458666,0.808787356518037,0.9337016574585635,0.44982698961937717,676,159,48,130
SYSUCC,5-ckpt ensemble + TTA,1013,0.8380297845495039,0.28692288330399274,0.6804472610933382,0.930939226519337,0.4740484429065744,674,152,50,137
