cohort,k,n_draws,thresholds_changed,max_abs_delta_spec,max_abs_delta_sens,spec_median_routine,spec_median_exhaustive,sens_median_routine,sens_median_exhaustive,kstar_routine,kstar_exhaustive
BrEaST,10,500,0,1.1102230246251565e-16,1.1102230246251565e-16,0.7635135135135135,0.7635135135135135,0.8297872340425532,0.8297872340425532,20,20
BrEaST,20,500,37,0.39310344827586213,0.28409090909090906,0.6388888888888888,0.6421182266009853,0.8971394984326019,0.896551724137931,20,20
BrEaST,30,500,66,0.13868613138686137,0.15476190476190477,0.6985294117647058,0.7014925373134329,0.8698179271708684,0.8690476190476191,20,20
BrEaST,50,500,63,0.11111111111111116,0.053333333333333344,0.64,0.6431339977851607,0.8947368421052632,0.8923745173745175,20,20
BrEaST,100,500,93,0.10638297872340419,0.03703703703703709,0.6363636363636364,0.6373626373626373,0.896551724137931,0.896551724137931,20,20
BUSI (clean),10,500,0,1.1102230246251565e-16,1.1102230246251565e-16,0.9,0.9,0.8464108813585973,0.8464108813585973,20,20
BUSI (clean),20,500,59,0.16746411483253598,0.28104575163398693,0.8235294117647058,0.8268365817091454,0.8885233918128654,0.8846153846153846,20,20
BUSI (clean),30,500,100,0.2128712871287129,0.24836601307189543,0.828357100415924,0.8413197969543147,0.88,0.8758561643835616,20,20
BUSI (clean),50,500,111,0.14893617021276595,0.1619718309859155,0.8181818181818182,0.8239987484355444,0.8943661971830986,0.8904609539046096,20,20
BUSI (clean),100,500,102,0.13414634146341464,0.04347826086956508,0.8018755935422602,0.806350806451613,0.9037543859649123,0.9033672891907187,20,20
GDPH,10,500,0,1.1102230246251565e-16,1.1102230246251565e-16,0.8265525728039551,0.8265525728039551,0.8664000349680916,0.8664000349680916,10,10
GDPH,20,500,77,0.2723004694835681,0.2904109589041096,0.7981109140990041,0.8079625292740047,0.8879773058116531,0.8820299563450249,10,10
GDPH,30,500,112,0.18809523809523815,0.2341597796143251,0.7997613365155132,0.8055219286109574,0.8865817263544535,0.8817054157963249,10,10
GDPH,50,500,126,0.17359413202933982,0.12994350282485878,0.7792653979094657,0.7855400696864112,0.8969904375163741,0.8941342611543184,10,10
GDPH,100,500,133,0.0712401055408971,0.058641975308642014,0.7812916666666667,0.7864907512930657,0.8957045401082098,0.8934548521017125,10,10
GDPH,200,500,156,0.04907975460122693,0.02573529411764708,0.7713414634146342,0.7738983456762831,0.9028776978417268,0.9015516829792314,10,10
SYSUCC,10,500,0,1.1102230246251565e-16,1.1102230246251565e-16,0.5541964667766979,0.5541964667766979,0.9086483752686814,0.9086483752686813,10,10
SYSUCC,20,500,253,0.520979020979021,0.2344632768361582,0.5628289308806576,0.599645390070922,0.9038868777918954,0.8849692212682033,10,10
SYSUCC,30,500,253,0.4007092198581561,0.21306818181818188,0.5622775800711743,0.6028368794326241,0.9043539841043406,0.8838213777687461,10,10
SYSUCC,50,500,243,0.35636363636363644,0.13119533527696803,0.5349269426760201,0.5641025641025641,0.9127905134331763,0.9024034442223552,10,10
SYSUCC,100,500,243,0.24436090225563917,0.08294930875576023,0.5637065637065637,0.5730997263605959,0.9026272789817681,0.8974560794422304,10,10
SYSUCC,200,500,205,0.1111111111111111,0.0345423143350605,0.5605071418265762,0.5693014371475351,0.9046395176838432,0.8991301296941541,10,10
