cohort,signal,q_pct,n_abstained,n_retained,retained_prevalence,retained_sens,retained_spec,abstained_error_rate,error_enrichment
breast,U_std,0,0,252,0.3888888888888889,0.9183673469387755,0.4090909090909091,,
breast,U_std,5,13,239,0.3891213389121339,0.9139784946236559,0.4315068493150685,0.6153846153846154,1.5664335664335665
breast,U_std,10,25,227,0.3876651982378855,0.9090909090909091,0.45323741007194246,0.6,1.5272727272727273
breast,U_std,20,50,202,0.41089108910891087,0.9036144578313253,0.5294117647058824,0.7,1.7818181818181817
breast,U_std,30,76,176,0.4090909090909091,0.8888888888888888,0.6057692307692307,0.6578947368421053,1.674641148325359
breast,U_range,0,0,252,0.3888888888888889,0.9183673469387755,0.4090909090909091,,
breast,U_range,5,13,239,0.3807531380753138,0.9120879120879121,0.42567567567567566,0.46153846153846156,1.174825174825175
breast,U_range,10,25,227,0.3920704845814978,0.9101123595505618,0.45652173913043476,0.64,1.6290909090909091
breast,U_range,20,50,202,0.40594059405940597,0.9024390243902439,0.525,0.68,1.7309090909090912
breast,U_range,30,76,176,0.4034090909090909,0.8873239436619719,0.6,0.6447368421052632,1.6411483253588517
breast,margin,0,0,252,0.3888888888888889,0.9183673469387755,0.4090909090909091,,
breast,margin,5,13,239,0.40585774058577406,0.9278350515463918,0.39436619718309857,0.46153846153846156,1.174825174825175
breast,margin,10,25,227,0.4185022026431718,0.9473684210526315,0.3939393939393939,0.56,1.4254545454545455
breast,margin,20,50,202,0.47029702970297027,0.9473684210526315,0.411214953271028,0.62,1.5781818181818181
breast,margin,30,76,176,0.5113636363636364,0.9666666666666667,0.37209302325581395,0.5526315789473685,1.4066985645933017
busi,U_std,0,0,379,0.43007915567282323,0.9570552147239264,0.6296296296296297,,
busi,U_std,5,19,360,0.43333333333333335,0.9551282051282052,0.6666666666666666,0.631578947368421,2.751361161524501
busi,U_std,10,38,341,0.4340175953079179,0.9527027027027027,0.7046632124352331,0.6052631578947368,2.636721113127647
busi,U_std,20,76,303,0.4521452145214521,0.948905109489051,0.8192771084337349,0.6578947368421053,2.8660012099213557
busi,U_std,30,114,265,0.4377358490566038,0.9396551724137931,0.8791946308724832,0.543859649122807,2.3692276668683205
busi,U_range,0,0,379,0.43007915567282323,0.9570552147239264,0.6296296296296297,,
busi,U_range,5,19,360,0.42777777777777776,0.9545454545454546,0.6601941747572816,0.5263157894736842,2.292800967937084
busi,U_range,10,38,341,0.4398826979472141,0.9533333333333334,0.7120418848167539,0.6578947368421053,2.8660012099213557
busi,U_range,20,76,303,0.44884488448844884,0.9485294117647058,0.8083832335329342,0.631578947368421,2.751361161524501
busi,U_range,30,114,265,0.4377358490566038,0.9396551724137931,0.87248322147651,0.5350877192982456,2.331014317402702
busi,margin,0,0,379,0.43007915567282323,0.9570552147239264,0.6296296296296297,,
busi,margin,5,19,360,0.4444444444444444,0.95625,0.65,0.5263157894736842,2.292800967937084
busi,margin,10,38,341,0.4633431085043988,0.9556962025316456,0.6612021857923497,0.47368421052631576,2.0635208711433757
busi,margin,20,76,303,0.5016501650165016,0.9736842105263158,0.7086092715231788,0.5131578947368421,2.2354809437386574
busi,margin,30,114,265,0.5509433962264151,0.9726027397260274,0.7394957983193278,0.45614035087719296,1.9870941722121396
gdph,U_std,0,0,810,0.46296296296296297,0.9706666666666667,0.4528735632183908,,
gdph,U_std,5,40,770,0.45714285714285713,0.96875,0.47129186602870815,0.425,1.3825301204819276
gdph,U_std,10,81,729,0.46364883401920437,0.9674556213017751,0.5038363171355499,0.5432098765432098,1.7670682730923695
gdph,U_std,20,162,648,0.4645061728395062,0.9634551495016611,0.5677233429394812,0.5432098765432098,1.7670682730923695
gdph,U_std,30,243,567,0.47442680776014107,0.9591078066914498,0.6610738255033557,0.5637860082304527,1.8340026773761713
gdph,U_range,0,0,810,0.46296296296296297,0.9706666666666667,0.4528735632183908,,
gdph,U_range,5,40,770,0.45714285714285713,0.96875,0.47129186602870815,0.425,1.3825301204819276
gdph,U_range,10,81,729,0.46364883401920437,0.9674556213017751,0.5038363171355499,0.5432098765432098,1.7670682730923695
gdph,U_range,20,162,648,0.4645061728395062,0.9634551495016611,0.5677233429394812,0.5432098765432098,1.7670682730923695
gdph,U_range,30,243,567,0.47619047619047616,0.9592592592592593,0.6599326599326599,0.5637860082304527,1.8340026773761713
gdph,margin,0,0,810,0.46296296296296297,0.9706666666666667,0.4528735632183908,,
gdph,margin,5,40,770,0.4831168831168831,0.9731182795698925,0.44472361809045224,0.45,1.463855421686747
gdph,margin,10,81,729,0.5061728395061729,0.975609756097561,0.4388888888888889,0.4691358024691358,1.5261044176706826
gdph,margin,20,162,648,0.558641975308642,0.9779005524861878,0.43356643356643354,0.4876543209876543,1.5863453815261044
