cohort,signal,n,n_errors,auroc,ci_lo,ci_hi,n_boot_valid
breast,U_std,252,99,0.774212715389186,0.7100373313651822,0.8314304653068626,2000
breast,U_range,252,99,0.7718360071301247,0.7082273649023305,0.8285532004901389,2000
breast,margin,252,99,0.6638938403644286,0.5945499082127326,0.7286039314715784,2000
busi,U_std,379,87,0.8562037474413478,0.811859084542908,0.8949951889970159,2000
busi,U_range,379,87,0.851047079200126,0.8055382519052029,0.8905893845652881,2000
busi,margin,379,87,0.7536214769327665,0.694307830787053,0.8089106862630557,2000
gdph,U_std,810,249,0.8024468641052624,0.7717588657356217,0.8328946669547493,2000
gdph,U_range,810,249,0.7998339167722583,0.7702041796664225,0.8305398777148856,2000
gdph,margin,810,249,0.7171395027525431,0.6823796799111892,0.7517550804280124,2000
sysucc,U_std,1013,202,0.6256974032791688,0.5885999197552434,0.6648555260827534,2000
sysucc,U_range,1013,202,0.6256485697891614,0.5894110072198157,0.6653014892766488,2000
sysucc,margin,1013,202,0.7470669385064277,0.7103610123601236,0.7844353937574914,2000
