cohort,n,bootstrap,model,auc,auc_lo,auc_hi,sens,spec,benign_median,threshold,delta_auc,delta_auc_lo,delta_auc_hi,delta_spec,delta_spec_lo,delta_spec_hi,n_boot_valid
breast,252,case-level,loco,0.8656904320169627,0.816694101268826,0.9096858750184827,0.8571428571428571,0.7532467532467533,0.2230459,0.47379565238952637,0.019016697588126186,-0.015531937448903044,0.055033187376785794,0.27922077922077926,0.1960581273929691,0.3618421052631579,2000.0
breast,252,case-level,v1_single,0.8466737344288365,0.79414172783738,0.8951196371186902,0.9387755102040817,0.474025974025974,0.2789107659988168,0.26832120350764344,,,,,,,
breast,252,case-level,v1_ensemble,0.8541611449774715,0.8019240507199223,0.9024358448145445,0.9183673469387755,0.4090909090909091,0.30611414,0.26832120350764344,,,,,,,
busi,379,image-level,loco,0.9371449670529426,0.9115192669172932,0.9588482637882214,0.8466257668711656,0.8796296296296297,0.05122581,0.4115960896015167,0.030248807089298002,0.007374243501598862,0.05499522431765414,0.27314814814814814,0.20873786407766992,0.33783938047636675,2000.0
busi,379,image-level,v1_single,0.9068961599636446,0.8727067981325427,0.9371238124765207,0.9386503067484663,0.6064814814814815,0.15011859501433192,0.26832120350764344,,,,,,,
busi,379,image-level,v1_ensemble,0.9338786639400136,0.9061658941277634,0.9580038035725343,0.9570552147239264,0.6296296296296297,0.173856855,0.26832120350764344,,,,,,,
gdph,810,image-level,loco,0.9454467432950191,0.9301992456907051,0.960118213208242,0.96,0.7126436781609196,0.2782694,0.5409913659095764,0.055558620689655,0.03706780693611284,0.0743498242221977,0.30114942528735633,0.24835053208642374,0.35730337078651686,2000.0
gdph,810,image-level,v1_single,0.8898881226053641,0.8668043485590806,0.9127611369711834,0.952,0.4114942528735632,0.33930667066288817,0.26832120350764344,,,,,,,
gdph,810,image-level,v1_ensemble,0.9153869731800767,0.8948714473736854,0.9342718368661131,0.9706666666666667,0.4528735632183908,0.28938693,0.26832120350764344,,,,,,,
sysucc,1013,image-level,loco,0.8444149190387888,0.8167991539265275,0.8699850245438565,0.7997237569060773,0.7162629757785467,0.17059384,0.49681493639945984,0.012552811179720624,-0.009894799912171121,0.0346377915147698,0.2664359861591695,0.21222185820117143,0.32056079538627896,2000.0
sysucc,1013,image-level,v1_single,0.8318621078590682,0.803659140272438,0.8592379605388029,0.9337016574585635,0.44982698961937717,0.31778919960076857,0.26832120350764344,,,,,,,
sysucc,1013,image-level,v1_ensemble,0.8380297845495039,0.8097935753340662,0.8655354447553396,0.930939226519337,0.4740484429065744,0.28692287,0.26832120350764344,,,,,,,
