cohort,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate
breast,10,0.8297872340425532,0.24989690721649485,1.0,0.7635135135135135,0.0,0.9694699440820129,1.6363636363636362,-1.9048135080645163,2.6934952978056423,0.008
breast,20,0.8971394984326019,0.6022085777126099,1.0,0.6388888888888888,0.0,0.8947540135920418,1.096774193548387,-1.9672311827956988,2.3050691244239623,0.0
breast,30,0.8698179271708684,0.6043813387423935,0.989010989010989,0.6985294117647058,0.007518796992481203,0.8865037593984961,1.3559907834101383,-1.890972222222222,2.254861111111111,0.0
breast,50,0.8947368421052632,0.698055907507127,1.0,0.64,0.18494410569105693,0.8530887644942022,1.0740740740740742,-1.112895256916996,2.123285953177257,0.0
breast,100,0.896551724137931,0.7480410447761194,0.9841269841269841,0.6363636363636364,0.27956989247311825,0.8137260536398466,1.0,-0.6190476190476191,1.942892156862745,0.0
busi,10,0.8464108813585973,0.31771059782608696,0.9970312499999998,0.9,0.22301955529964135,0.9952043844313581,1.4249999999999998,-2.11837085678549,1.9473684210526312,0.006
busi,20,0.8885233918128654,0.5862168874172186,0.9936305732484076,0.8235294117647058,0.27580081537565526,0.9710876532887402,1.0378205128205127,-1.9200391180654341,1.8134246088193462,0.0
busi,30,0.88,0.6575733535688006,0.9931506849315068,0.828357100415924,0.29743589743589743,0.9650078751968799,1.0526315789473681,-1.7105263157894737,1.7923076923076924,0.0
busi,50,0.8943661971830986,0.7147237514258792,0.9854014598540146,0.8181818181818182,0.47962497796580295,0.9612239103744629,1.0,-0.7648484848484851,1.7837837837837835,0.0
busi,100,0.9037543859649123,0.7710344827586207,0.9707393662574935,0.8018755935422602,0.6265297535564015,0.9442805383022774,0.9032258064516128,0.03276881720430116,1.6007812499999998,0.0
gdph,10,0.8664000349680916,0.2895855129322871,0.9946098517872711,0.8265525728039551,0.1736111111111111,0.9929992320763349,1.162356621480709,-0.8792936882782313,1.6811594202898552,0.0
gdph,20,0.8879773058116531,0.5981789450741064,0.9945433361623561,0.7981109140990041,0.17652122641509435,0.956991755261445,1.074074074074074,-0.870082918739635,1.573529411764706,0.0
gdph,30,0.8865817263544535,0.6422346850733391,0.9890281353023529,0.7997613365155132,0.213379917184265,0.9521585595485426,1.0783347257031468,-0.734587542087542,1.5601763907734056,0.0
gdph,50,0.8969904375163741,0.7459100566572238,0.9829314782439782,0.7792653979094657,0.3397405996296824,0.9092078877005347,1.0223076072534276,-0.34250000000000014,1.4053334672559261,0.0
gdph,100,0.8957045401082098,0.7801097531751737,0.9693251533742331,0.7812916666666667,0.5278448548812665,0.8876361299369011,1.0241935483870968,0.2312769010043042,1.3362258953168042,0.0
gdph,200,0.9028776978417267,0.8220514087361913,0.9575971731448764,0.7713414634146342,0.6435807617458994,0.8503434249133102,0.9818166790643856,0.5983473389355742,1.2361068111455107,0.0
sysucc,10,0.9086483752686813,0.5757866072881396,0.9986033519553073,0.5541964667766979,0.045454545454545456,0.8781939866147237,0.8518518518518519,-4.555555555555555,4.340598290598289,0.024
sysucc,20,0.9038868777918954,0.7129382685277501,0.9915197300601731,0.5628289308806576,0.17482517482517482,0.7881624953993375,1.0,-3.1851851851851856,3.333333333333334,0.0
sysucc,30,0.9043539841043406,0.7524789377289377,0.9814285714285714,0.5622775800711743,0.2822841726618705,0.7644394627537751,1.0,-2.0392692307692304,3.094871794871793,0.0
sysucc,50,0.9127905134331764,0.7993766123450575,0.9789907735085945,0.5349269426760201,0.30286846486846486,0.7161596983683984,0.6923076923076921,-1.8040384615384617,2.540384615384614,0.0
sysucc,100,0.9026272789817682,0.8253197191359031,0.9670598682662903,0.5637065637065637,0.3856251965577379,0.6915898380727278,1.0,-0.9784090909090912,2.374999999999999,0.0
sysucc,200,0.9046395176838432,0.84600751311359,0.9497856860146444,0.5605071418265762,0.44463651840046364,0.6629783544606553,1.0,-0.26709486166007895,2.0,0.0
